3921667,inspur浪潮,P8000
3921666,inspur浪潮,P8000
3921438,NEC,T120f
3921329,戴尔,Dell PowerEdge T630
3921330,戴尔,Dell PowerEdge T630
3919336,曙光,W560-G20
3919335,曙光,W760-G
3919319,LTHPC（联泰集群）,LT-7049R
3919099,PowerLeader（宝德）,PR6620G
3919093,PowerLeader（宝德）,PR4764GW
3918607,清华同方,超强TP370
3918572,Lenovo systemX,System x3500M5
3918571,Lenovo systemX,System x3500M5
3917912,云海麒麟,YH-5610v3
3917913,云海麒麟,YH-5610v3
3917888,Lenovo（联想）,ThinkServer TD350
3917887,Lenovo（联想）,ThinkServer TD350
3917168,惠普,ML350 Gen9
3917167,惠普,ML350 Gen9
3916852,超云,T8520 G10
3921669,inspur浪潮,P8000
3921668,inspur浪潮,P8000
3921557,强氧,强氧 TS5700 V3/262016
3921439,NEC,T120f
3921331,戴尔,Dell PowerEdge T630
3921332,戴尔,Dell PowerEdge T630
3920830,量子（ESPAN）,NS-GI28S1
3919338,曙光,W550-G
3919337,曙光,W360-G
3919318,LTHPC（联泰集群）,LT-7048R
3919119,PowerLeader（宝德）,PR2390R
3919106,PowerLeader（宝德）,PR4620G
3918608,清华同方,超强TP270
3918573,Lenovo systemX,System x3500M5
3918574,Lenovo systemX,System x3500M5
3917915,云海麒麟,YH-5610v3
3917914,云海麒麟,YH-5610v3
3917889,Lenovo（联想）,ThinkServer TD350
3917890,Lenovo（联想）,ThinkServer TD350
3917169,惠普,ML150 Gen9
3916853,超云,T8510 G10
3921671,inspur浪潮,NP3020M3
3921670,inspur浪潮,NP3020M3
3921441,NEC,T110g-S
3921440,NEC,T110g-E
3921334,戴尔,Dell PowerEdge T330
3921333,戴尔,Dell PowerEdge T130
3921184,ACER（宏碁）,Altos T110 F3
3921185,ACER（宏碁）,Altos C100 F3
3920831,量子（ESPAN）,NS-GI14S1
3919339,曙光,I210-G
3919340,曙光,W320-G
3919317,LTHPC（联泰集群）,LT-5039A
3919107,PowerLeader（宝德）,PR2180H
3918609,清华同方,超强TP180
3918576,Lenovo systemX,System x3100M5
3918575,Lenovo systemX,System x3100M5
3917917,云海麒麟,YH-3610V3
3917916,云海麒麟,YH-3610V3
3917892,Lenovo（联想）,ThinkServer TS150
3917891,Lenovo（联想）,ThinkServer TS150
3916854,超云,T8310 G10
3921672,inspur浪潮,NF8480M4
3921647,inspur浪潮,TS860G3
3921559,强氧,强氧 RS1700 V3/269032
3921560,强氧,RS2700 V3/269032
3921514,长城,GW R930
3921523,长城,GW R730XD-QY
3921487,新云东方,NL6812（6812-L1C）
3921488,新云东方,NL6822（6822-L1C）
3921444,NEC,A2010c
3921336,戴尔,Dell PowerEdge R930
3921335,戴尔,Dell PowerEdge R930
3920861,易讯通,6027TR-DTRF
3920680,金品,KU4450
3919359,曙光,I840-G
3919358,曙光,I840-G20
3919321,LTHPC（联泰集群）,LT-8048B
3919320,LTHPC（联泰集群）,LT-8049-TR
3919102,PowerLeader（宝德）,PR4880R
3919104,PowerLeader（宝德）,PR4860R
3918927,智网,UniDR-DZ20
3918951,ZTE中兴,ZXCLOUD R8500 G3
3918928,智网,UniDR-DZ25
3918859,汉柏,C860
3918858,汉柏,C860G2
3918697,鲸鲨,DS2-24E
3918610,清华同方,超强TR930
3918578,Lenovo systemX,System x3850X6
3918577,Lenovo systemX,System x3850X6
3918532,IBM,Power System S822LC
3918531,IBM,Power System S822LC
3918481,思腾合力,IR4202
3918289,Ruijie（锐捷网络）,UDS2000-C(S)
3918288,Ruijie（锐捷网络）,UDS2000-E(S)
3917919,云海麒麟,YH-8451V2
3917918,云海麒麟,YH-8451V2
3917588,紫光,UStor N4224S
3917504,华为,RH5885 V3+4*E7-4809处理器+32GB DDR4内存
3917503,华为,RH8100 V3+8*E7-8860V3处理器+64GB DDR4内存
3917173,惠普,DL580 Gen9
3916859,超云,R7210 G10
3916860,超云,R7410 G10
3916608,华三（H3C）,H3C UIS R690 G2【配置升级】
3916607,华三（H3C）,H3C UIS R690 G2
3921674,inspur浪潮,NF5170M4
3921673,inspur浪潮,NF5280M4
3921562,强氧,强氧 RS2700 V3/262016
3921561,强氧,RS1700 V3/262016
3921516,长城,GW R630
3921515,长城,GW R730
3921489,新云东方,NL2200（2200-L2C）
3921443,NEC,R120f-2E
3921442,NEC,R120f-1E
3921338,戴尔,Dell PowerEdge R730
3921337,戴尔,Dell PowerEdge R630
3921187,Acer（宏碁）,MR280
3921186,Acer（宏碁）,MR260
3920857,易讯通,6027R-WRF
3920856,易讯通,1028TR-WCR
3920683,金品,KU2235
3920682,金品,KU2455
3919361,曙光,A620
3919360,曙光,I620-G
3919322,LTHPC（联泰集群）,LT-6028R
3919103,PowerLeader（宝德）,PR2510G2
3919100,PowerLeader（宝德）,PR2012GS1-CD1
3918926,智网,UniDR-DZ16
3918952,ZTE中兴,ZXCLOUD R5300 G3
3918925,智网,UniDR-DZ10
3918772,思科cisco,UCSC-C240-M4S
3918861,汉柏,C620G3
3918771,思科cisco,UCSC-C220-M4S
3918860,汉柏,C640
3918727,云创存储,cServer服务器 C1316
3918726,云创存储,cServer服务器 C1212
3918611,清华同方,超强TR730
3918580,Lenovo systemX,System x3550M5
3918534,IBM,Power System S812LC
3918579,Lenovo systemX,System x3650M5
3918483,思腾合力,IR4200
3918482,思腾合力,IR2200
3918378,DCN,DCC-CR5000
3918377,DCN,DCC-CR3000V2
3918287,Ruijie（锐捷网络）,UDS2000-C
3918286,Ruijie（锐捷网络）,UDS2000-E
3917921,云海麒麟,YH-5210V3
3917920,云海麒麟,YH-5210V3
3917894,Lenovo（联想）,ThinkServer RD450
3917893,Lenovo（联想）,ThinkServer RD650
3917589,紫光,UStor N2214S
3917506,华为,RH1288 V3+1*E5-2609处理器+8GB DDR4内存
3917505,华为,RH2288 V3+2*E5-2609V3处理器+16GB DDR4内存
3917175,惠普,DL360 Gen9
3917174,惠普,DL380 Gen9
3916858,超云,R6240 G10
3916857,超云,R5210 G10
3916651,研华,HPC-7242MB-00XE-YC01
3916609,华三（H3C）,H3C UIS R190 G2(8LFF主机)
3916610,华三（H3C）,H3C UIS R390 G2（8SFF主机）
3916278,斐讯,PCVS-60
3916277,斐讯,PCVS-30
3921517,长城,GW M630
3921339,戴尔,Dell PowerEdge M830
3921340,戴尔,Dell PowerEdge FC830
3919352,曙光,CB80-G20
3919114,PowerLeader（宝德）,PR7010B
3918953,ZTE中兴,ZXCLOUD EC800 G3
3918615,清华同方,超强TM830
3918582,Lenovo systemX,Flex System x480 X6
3918581,Lenovo systemX,Flex System x480 X6
3917923,云海麒麟,YH-6750Bv3
3917922,云海麒麟,YH-6750Bv3
3917508,华为,CH242 V3-4820+4*E7-4820V3处理器+64GB DDR4 内存
3917507,华为,CH242 V3-4809+4*E7-4809V3处理器+64GB DDR4内存
3916616,华三（H3C）,UIS-B590-G2
3916617,华三（H3C）,UIS-B590-G2【配置升级】
3921677,inspur浪潮,NX5460M4
3921678,inspur浪潮,NX5460M4
3921518,长城,GW M630
3921446,NEC,B120f
3921342,戴尔,Dell PowerEdge FC630
3921341,戴尔,Dell PowerEdge M630
3919354,曙光,CB85-G10
3919323,LTHPC（联泰集群）,LT-6028TP-HC0R
3918954,ZTE中兴,ZXCLOUD EC600 G3
3918814,思科cisco,UCSB-B200-M3-U
3918815,思科cisco,UCSB-B200-M4-U
3918728,云创存储,数据立方云计算一体机 D1000
3918616,清华同方,超强TM630
3918584,Lenovo systemX,Flex system x240M5
3918583,Lenovo systemX,Flex system x240M5
3917924,云海麒麟,YH-6710Bv3
3917925,云海麒麟,YH-6710Bv3
3917509,华为,CH222 V3+2*E5-2609V3处理器+32GB DDR4 内存
3917510,华为,CH220 V3+2*E5-2609V3处理器+32GB DDR4 内存
3916619,华三（H3C）,UIS-B390-G2【配置升级】
3916618,华三（H3C）,UIS-B390-G2
3921679,inspur浪潮,NX5440M4
3921680,inspur浪潮,NX5840
3921519,长城,GW M630
3921445,NEC,B120f
3921343,戴尔,Dell PowerEdge M630
3921344,戴尔,Dell PowerEdge M630
3919357,曙光,CX50-G20
3919324,LTHPC（联泰集群）,LT-6028TR
3918955,ZTE中兴,ZXCLOUD EC600 G2
3918813,思科cisco,UCSB-B200-M4-U
3918812,思科cisco,UCSB-B200-M3-U
3918617,清华同方,超强TM630
3918585,Lenovo systemX,BladeCenter HS23
3918586,Lenovo systemX,BladeCenter HS23
3917929,云海麒麟,YH-6710BV3
3917930,云海麒麟,YH-6710BV3
3917512,华为,CH121 V3-32GB+2*E5-2609V3处理器+32GB DDR4 内存
3917514,华为,CH121 V3-含刀片机箱+1*E5-2609V3处理器+16GB DDR4 内存
3917180,惠普,BL460c Gen9 Graphics Svr Blade
3921748,容天,SCS4450
3921651,inspur浪潮,NF5288M4
3921648,inspur浪潮,TS860G3
3921346,戴尔,Dell PowerEdge R730
3921345,戴尔,Dell PowerEdge R730
3921296,Oracle（Sun）,PCA compute server
3919369,曙光,W580I-G
3919368,曙光,W780-G
3919328,LTHPC（联泰集群）,LT-2028GR-TH
3919325,LTHPC（联泰集群）,LT-4028GR-TH
3919094,PowerLeader（宝德）,PR4768GW
3919112,PowerLeader（宝德）,PR4768GH
3918819,思科cisco,UCSC-C240-M4S
3918818,思科cisco,UCSC-C240-M4S
3918863,汉柏,C660G3-H1
3918862,汉柏,C660G3-H2
3918612,清华同方,超强TR730
3918588,Lenovo systemX,System x3650M5
3918587,Lenovo systemX,System x3650M5
3917931,云海麒麟,YH-5208G
3917928,云海麒麟,YH-5208G
3917518,华为,RH2288H V3+2*E5-2609V3处理器+64GB DDR4 内存
3917516,华为,RH5885H V3+4*E7-4809V3处理器+64GB DDR4 内存
3917183,惠普,WS460cGen9
3916856,超云,R8226 G10
3916861,超云,R7415 G10
3916611,华三（H3C）,H3C UIS R390 G2（8SFF主机）
3916612,华三（H3C）,H3C UIS R390 G2【配置升级】
3921676,inspur浪潮,NF5270M4
3921675,inspur浪潮,NF8460M4
3921348,戴尔,Dell PowerEdge R730
3921347,戴尔,Dell PowerEdge C4130
3919371,曙光,L300-G
3919370,曙光,W560-G
3919316,LTHPC（联泰集群）,LT-7038A
3919315,LTHPC（联泰集群）,LT-7048A
3919115,PowerLeader（宝德）,PR2764GW
3919105,PowerLeader（宝德）,PR4764GH
3918864,汉柏,C660G3-M1
3918817,思科cisco,UCSC-C240-M4S
3918816,思科cisco,UCSC-C240-M4S
3918865,汉柏,C660G3-S1
3918613,清华同方,超强TR730
3918589,Lenovo systemX,System x3500M5
3918590,Lenovo systemX,System x3550M5
3917933,云海麒麟,YH-5208G
3917932,云海麒麟,YH-5208G
3917522,华为,RH1288 V2+1*E5-2620V2处理器+32GB 内存
3917519,华为,RH2288H V2+2*E5-2620V2处理器+32GB 内存
3917184,惠普,ML350 Gen9
3916855,超云,R8123 G10
3916862,超云,R5215 G10
3916614,华三（H3C）,H3C UIS R390 G2【配置升级
3916613,华三（H3C）,H3C UIS R390 G2
3921652,inspur浪潮,NF5568M4
3921649,inspur浪潮,TS860G3
3921654,inspur浪潮,NF5280M4
3921350,戴尔,Dell PowerEdge C6320
3921349,戴尔,Dell PowerEdge R430
3921351,戴尔,Dell PowerEdge R730XD
3919373,曙光,L640-G
3919372,曙光,A840
3919327,LTHPC（联泰集群）,LT-1028GQ
3919326,LTHPC（联泰集群）,LT-7048GR-TR
3919098,PowerLeader（宝德）,PR2750G
3919118,PowerLeader（宝德）,PR1763GW
3919116,PowerLeader（宝德）,PR2730R
3918821,思科cisco,UCSC-C220-M4S
3918820,思科cisco,UCSC-C220-M4S
3918867,汉柏,C640 G2
3918866,汉柏,C640 G3
3918822,思科cisco,UCSC-C240-M4S
3918884,汉柏,PS-5221
3918614,清华同方,超强TR730
3917927,云海麒麟,YH-5208G
3917939,云海麒麟,YH-5208G
3917926,云海麒麟,YH-5208G
3917524,华为,RH2288A V2+2*E5-2620V2处理器+64GB 内存
3917530,华为,RH1288A V2+1*E5-2620V2处理器+64GB 内存
3917527,华为,RH2285H V2+2*E5-2620V2处理器+64GB 内存
3916863,超云,R9480 G10
3916865,超云,R9440 G10
3916864,超云,R5410 G10
3916615,华三（H3C）,H3C UIS R390 G2
3921646,inspur浪潮,K1 910
3921645,inspur浪潮,K1 910
3921644,inspur浪潮,K1 950
3921486,新云东方,NA7824(7824-A1C)
3921485,新云东方,NA7822(7822-A1C)
3921484,新云东方,NA6814(6814-A1C)
3919377,曙光,I980-G
3919375,曙光,I980-G10（支持双四路）
3918592,Lenovo systemX,System x3850X6
3918591,Lenovo systemX,System x3950X6
3918593,Lenovo systemX,Flex system x480X6
3917897,Lenovo（联想）,ThinkServer RQ940
3917896,Lenovo（联想）,ThinkServer RQ940
3917895,Lenovo（联想）,ThinkServer RQ940
3917203,惠普,HP Integrity rx9800 i4
3917202,惠普,HP Integrity rx9900 i4
3917204,惠普,HP Integrity BL860C i4
