buyer,万宗网络科技（上海）有限公司,万雍科技(上海)有限公司,上海万聚电子科技有限公司,上海中隽电子科技发展有限公司,上海互联网软件有限公司,上海亚太蓝星计算机信息技术有限公司,上海从维信息技术有限公司,上海仪电鑫森科技发展有限公司,上海华敏鼎燊通讯设备有限公司,上海华胄网络科技有限公司,上海博胜佳欣科技有限公司,上海合联电子科技有限公司,上海同济科教技术物资有限公司,上海复旦科教器材服务有限公司,上海山屹实业有限公司,上海恒驰信息系统有限公司,上海恩韦司信息系统有限公司,上海惠衡科技发展有限公司,上海承蓝电子科技有限公司,上海承蓝科技股份有限公司,上海易颜居网络科技有限公司,上海晓轩信息技术有限公司,上海有卅信息科技有限公司,上海极有网络科技有限公司,上海汇策电子系统集成有限公司,上海汉澄电子设备有限公司,上海沐高网络科技有限公司,上海海拓信息技术有限公司,上海港讯电子科技有限公司,上海爱可生信息技术股份有限公司,上海盛举信息科技有限公司,上海睿领信息技术有限公司,上海群立电脑科技有限公司,上海蓝道信息技术有限公司,上海蕊心信息科技有限公司,上海鑫湛信息科技有限公司,上海鸿照网络科技有限公司,上海龙田数码科技有限公司,中晟易键通（上海）科技发展有限公司,中经网数据有限公司,北京业成达科贸有限公司,北京中佳宏威科技有限公司,北京中天瑞达科技发展有限公司,北京久其软件股份有限公司,北京众和永业科技发展有限公司,北京优兆科技有限公司,北京开莱兴业科技有限公司,北京浩普诚华科技有限公司,北京百德科技有限公司,南京南方电讯有限公司,萃群实业（上海）有限公司,buyer_total
上海国家会计学院,0,0,0,1000435,0,0,0,0,819250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291600,0,0,126500,0,0,0,0,0,0,0,0,0,0,0,2237785
上海出入境检验检疫局,0,0,0,0,0,0,1478970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162700,0,0,0,0,0,1641670
同济大学,0,0,0,0,0,0,0,116565,0,36950,0,0,184038,0,0,0,0,0,0,0,0,0,117590,0,0,471600,0,0,479349,0,0,0,46822,0,0,0,0,35658,0,0,0,0,0,0,0,0,0,0,0,0,0,1488572
中华人民共和国上海海事局,0,0,0,0,0,0,0,0,0,0,6900,0,0,0,0,0,0,0,0,104617,0,0,0,0,1146146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65400,0,1323063
国家海洋局东海信息中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183483
上海国际旅行卫生保健中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134104
上海海关学院,0,0,0,0,0,0,0,0,0,0,7581,0,0,0,0,0,0,0,0,471960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227239,0,0,0,0,0,0,0,0,0,0,0,0,271410,978190
中国气象局上海台风研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700440
中国科学院上海有机化学研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692858,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695308
上海出入境边防检查总站,0,0,0,0,0,0,0,0,0,0,0,569196,0,0,0,46702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615898
上海交通大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204960,0,0,0,0,0,0,0,265000,0,0,0,0,0,0,0,469960
中国科学院上海应用物理研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161471,0,0,0,0,301047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462518
江苏出入境检验检疫局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458882
上海市浦东新区气象局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269907,0,0,0,0,0,0,0,0,287868
上海财经大学,0,0,0,191904,0,0,0,0,0,0,0,0,23600,7050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234946
交通运输部东海救助局,0,0,0,0,0,0,0,0,0,0,115740,0,0,0,0,0,0,0,0,0,0,0,0,0,56406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000,220146
中国科学院上海光学精密机械研究所,0,0,0,0,0,0,0,0,0,0,0,0,17400,0,113401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,17298,154099
东华大学（原中国纺织大学）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114000,0,36202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150202
中国科学院上海药物研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90931,0,0,0,0,0,0,0,0,0,0,0,0,23810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29770,144511
上海市气象信息与技术支持中心,0,0,0,0,0,144452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144452
国家海洋局东海标准计量中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125840,125840
上海市气象科学研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,0,0,0,0,0,47205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125205
交通运输部东海航海保障中心上海海事测绘中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114002,0,0,0,0,0,0,0,0,0,0,0,0,0,114002
江苏省气象信息中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111034
中华人民共和国杨浦海事局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94800
北京市城市管理综合行政执法局科技信息中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93000,0,0,0,0,0,0,0,0,0,0,0,0,93000
交通运输部东海航海保障中心上海通信中心,0,5400,9678,0,0,0,0,0,0,0,0,0,0,0,0,65373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80451
中国水产科学研究院东海水产研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73037
中华人民共和国洋山港海事局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61571
北京医院,0,0,0,0,0,0,51546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51546
江苏省气象局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51546
上海市地震局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41242
中国科学院上海生命科学研究院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38741
交通运输部长江口航道管理局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37170
中华人民共和国闵行海事局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000
中国科学院上海硅酸盐研究所,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4750,0,0,0,0,0,0,0,7280,0,0,0,3999,0,3720,4500,0,0,3490,31239
中华人民共和国上海机场出入境边防检查站,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30436
中华人民共和国浦东海事局,0,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000
中国证券监督管理委员会上海证券监管专员办事处,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29800,0,0,29800
上海市闵行区气象局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29800
中国银行业监督管理委员会常州监管分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25030
农业部东海区渔政局,0,0,0,0,0,0,0,0,0,0,0,0,5080,0,0,0,0,0,0,0,18950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24030
中国科学院上海高等研究院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23992,23992
中国科学院上海天文台,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19737,0,0,0,0,0,0,0,3999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23736
上海中心气象台,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17420
国家海洋局东海预报中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16296
北京市园林科学研究院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13265
广州民航职业技术学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13265
中国极地研究中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12762
中华人民共和国嘉兴海事局,12645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12645
国家海洋局东海海洋环境调查勘察中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10630,10630
上海交通大学招投标与政府采购办公室,0,0,0,0,0,0,0,0,0,0,0,0,9960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9960
中国科学技术大学上海研究院（上海中科大量子工程卓越中心）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8314
浙江立德产品技术有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7700
中国疾病预防控制中心寄生虫病预防控制所,0,0,0,0,3780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3780
